the_geom,stop_code,stop_id,stop_desc,stop_name,stop_lat,OBJECTID_1,stop_lon,ROUTE,ROUTENAME,DIRECTION,STREETNAME,CROSSSTREE,LABEL
POINT (-83.17977209439378 42.41131313996941),SFFLSB,6674,Schaefer Hwy & Florence St,SCHAEFER & FLORENCE,42.411305,4012,-83.179768,41,SCHAEFER,SOUTHBOUN,Schaefer Hwy,Florence St,6674 - Florence St / Schaefer Hwy
POINT (-83.17944209431712 42.41161714003867),SFFLNB,6675,Schaefer Hwy & Florence St,SCHAEFER & FLORENCE,42.411609,4013,-83.179438,41,SCHAEFER,NORTHBOUN,Schaefer Hwy,Florence St,6675 - Florence St / Schaefer Hwy
POINT (-83.17952709451735 42.41371914040972),SFGRNB,6676,Schaefer Hwy & Grove St,SCHAEFER & GROVE,42.413711,4014,-83.179523,41,SCHAEFER,NORTHBOUN,Schaefer Hwy,Grove St,6676 - Grove St / Schaefer Hwy
POINT (-83.18005209488211 42.41616914082291),SFMCSB,6678,Schaefer Hwy & W Mcnichols Rd,SCHAEFER & MC NICHOLS,42.416161,4015,-83.180048,41,SCHAEFER,SOUTHBOUN,Schaefer Hwy,W Mcnichols Rd,6678 - W Mcnichols Rd / Schaefer Hwy
POINT (-83.17972209481223 42.41655414090654),SFMCNB,6679,Schaefer Hwy & W Mcnichols Rd,SCHAEFER & MC NICHOLS,42.416546,4016,-83.179718,41,SCHAEFER,NORTHBOUN,Schaefer Hwy,W Mcnichols Rd,6679 - W Mcnichols Rd / Schaefer Hwy
POINT (-83.18019809537385 42.421563141778265),SFTHSB,6681,Schaefer Hwy & Thatcher St,SCHAEFER & THATCHER,42.421555,4017,-83.180194,41,SCHAEFER,SOUTHBOUN,Schaefer Hwy,Thatcher St,6681 - Thatcher St / Schaefer Hwy
POINT (-83.1798550953073 42.4220371418784),SFTHNB,6682,Schaefer Hwy & Thatcher St,SCHAEFER & THATCHER,42.422029,4018,-83.179851,41,SCHAEFER,NORTHBOUN,Schaefer Hwy,Thatcher St,6682 - Thatcher St / Schaefer Hwy
POINT (-83.18032009561226 42.42398714220498),SFJCSB,6684,Schaefer Hwy & James Couzens Fwy,SCHAEFER & JAMES COUZENS,42.423979,4019,-83.180316,41,SCHAEFER,SOUTHBOUN,Schaefer Hwy,Curtis St,6684 - Curtis St / Schaefer Hwy
POINT (-83.18002609550373 42.42377214218005),SFCUNB,6685,Schaefer Hwy & Curtis Ave,SCHAEFER & CURTIS,42.423764,4020,-83.180022,41,SCHAEFER,NORTHBOUN,Schaefer Hwy,Curtis Ave,6685 - Curtis Ave / Schaefer Hwy
POINT (-83.18055109593995 42.42708214274637),SFMASB,6691,Schaefer Hwy & Margareta St,SCHAEFER & MARGARETA,42.427074,4021,-83.180547,41,SCHAEFER,SOUTHBOUN,Schaefer Hwy,Margareta St,6691 - Margareta St / Schaefer Hwy
POINT (-83.18024509587585 42.427448142825526),SFMANB,6692,Schaefer Hwy & Margareta St,SCHAEFER & MARGARETA,42.42744,4022,-83.180241,41,SCHAEFER,NORTHBOUN,Schaefer Hwy,Margareta St,6692 - Margareta St / Schaefer Hwy
POINT (-83.18086709662676 42.43419314399981),SFVASB,6693,Schaefer Hwy & Vassar Ave,SCHAEFER & VASSAR,42.434185,4023,-83.180863,41,SCHAEFER,SOUTHBOUN,Schaefer Hwy,Vassar Ave,6693 - Vassar Ave / Schaefer Hwy
POINT (-83.1805370965701 42.434738144111954),SFVANB,6694,Schaefer Hwy & Vassar Ave,SCHAEFER & VASSAR,42.43473,4024,-83.180533,41,SCHAEFER,NORTHBOUN,Schaefer Hwy,Vassar Ave,6694 - Vassar Ave / Schaefer Hwy
POINT (-83.18089109694705 42.43796714467144),SFPESB,6711,Schaefer Hwy & Pembroke Ave,SCHAEFER & PEMBROKE,42.437959,4025,-83.180887,41,SCHAEFER,SOUTHBOUN,Schaefer Hwy,Pembroke Ave,6711 - Pembroke Ave / Schaefer Hwy
POINT (-83.18053609685904 42.438227144733965),SFPENB,6712,Schaefer Hwy & Pembroke Ave,SCHAEFER & PEMBROKE,42.438219,4026,-83.180532,41,SCHAEFER,NORTHBOUN,Schaefer Hwy,Pembroke Ave,6712 - Pembroke Ave / Schaefer Hwy
POINT (-83.18102509719235 42.44042714510386),SFCHSB,6713,Schaefer Hwy & Chippewa St,SCHAEFER & CHIPPEWA,42.440419,4027,-83.181021,41,SCHAEFER,SOUTHBOUN,Schaefer Hwy,Chippewa St,6713 - Chippewa St / Schaefer Hwy
POINT (-83.18069509708091 42.44031114509815),SFCHNB,6714,Schaefer Hwy & Chippewa St,SCHAEFER & CHIPPEWA,42.440303,4028,-83.180691,41,SCHAEFER,NORTHBOUN,Schaefer Hwy,Chippewa St,6714 - Chippewa St / Schaefer Hwy
POINT (-83.10996607048948 42.38264513801984),LSLAEB,6778,La Salle Blvd & Lawrence St,LASALLE & LAWRENCE,42.382637,4029,-83.109962,8,CANIFF,EASTBOUND,La Salle Blvd,Lawrence St,6778 - Lawrence St / La Salle Blvd
POINT (-83.18634909083075 42.343617127583826),WRCHEB,6812,W Warren Ave & Chase Rd,WARREN & CHASE,42.343609,4030,-83.186345,14,CROSSTOWN,EASTBOUND,W Warren Ave,Chase Rd,6812 - Chase Rd / W Warren Ave
POINT (-83.18700909105264 42.343841127593926),WRCHWB,6813,W Warren Ave & Chase Rd,WARREN & CHASE,42.343833,4031,-83.187005,14,CROSSTOWN,WESTBOUND,W Warren Ave,Chase Rd,6813 - Chase Rd / W Warren Ave
POINT (-83.00762976553807 42.35558922240238),KCBVWB,50,,Kercheval & East Grand Blvd.,42.355581,20,-83.007626,7,CADILLAC,WESTBOUND,,,50 -  /
POINT (-83.18411409014615 42.34367112769482),WRANEB,6814,W Warren Ave & Anthony St,WARREN & ANTHONY,42.343663,4032,-83.18411,14,CROSSTOWN,EASTBOUND,W Warren Ave,Anthony St,6814 - Anthony St / W Warren Ave
POINT (-83.18446809027735 42.34393912772664),WRANWB,6815,W Warren Ave & Anthony St,WARREN & ANTHONY,42.343931,4033,-83.184464,14,CROSSTOWN,WESTBOUND,W Warren Ave,Anthony St,6815 - Anthony St / W Warren Ave
POINT (-83.18295308981102 42.34394812779698),WRWIWB,6816,W Warren Ave & Williamson St,WARREN & WILLIAMSON,42.34394,4034,-83.182949,14,CROSSTOWN,WESTBOUND,W Warren Ave,Williamson St,6816 - Williamson St / W Warren Ave
POINT (-83.18754409242199 42.358446130179104),JYHUWB,6817,Joy Rd & Hubbell St,JOY RD & HUBBELL,42.358438,4035,-83.18754,27,JOY ROAD,WESTBOUND,Joy Rd,Hubbell St,6817 - Hubbell St / Joy Rd
POINT (-83.18499109163487 42.35844613029495),JYMAWB,6818,Joy Rd & Mark Twain St,JOY RD & MARK TWAIN,42.358438,4036,-83.184987,27,JOY ROAD,WESTBOUND,Joy Rd,Mark Twain St,6818 - Mark Twain St / Joy Rd
POINT (-83.18464909150721 42.35817713026244),JYMAEB,6819,Joy Rd & Mark Twain St,JOY RD & MARK TWAIN,42.358169,4037,-83.184645,27,JOY ROAD,EASTBOUND,Joy Rd,Mark Twain St,6819 - Mark Twain St / Joy Rd
POINT (-83.18094709037233 42.358257130444755),JYMEEB,6820,Joy Rd & Meadowdale St,JOY RD & MEADOWDALE,42.358249,4038,-83.180943,27,JOY ROAD,EASTBOUND,Joy Rd,Blythe St,6820 - Blythe St / Joy Rd
POINT (-83.182193090772 42.358445130421785),JYRRWB,6821,Joy Rd & Penn Central Railroad,JOY RD & R/R 1,42.358437,4039,-83.182189,27,JOY ROAD,WESTBOUND,Joy Rd,Penn Central Railroad,6821 - Penn Central Railroad / Joy Rd
POINT (-83.18540509236321 42.36572613157659),CGMAWB,6824,W Chicago St & Mark Twain St,CHICAGO & MARK TWAIN,42.365718,4040,-83.185401,15,CHICAGO-D,WESTBOUND,W Chicago St,Mark Twain St,6824 - Mark Twain St / W Chicago St
POINT (-83.18538009233852 42.365520131540926),CGMAEB,6825,W Chicago St & Mark Twain St,CHICAGO & MARK TWAIN,42.365512,4041,-83.185376,15,CHICAGO-D,EASTB0UND,W Chicago St,Mark Twain St,6825 - Mark Twain St / W Chicago St
POINT (-83.18381609185255 42.365475131603894),CGFREB,6826,W Chicago St & Freeland St,CHICAGO & FREELAND,42.365467,4042,-83.183812,15,CHICAGO-D,EASTB0UND,W Chicago St,Freeland St,6826 - Freeland St / W Chicago St
POINT (-83.18097408921047 42.3440641279075),WRR/WB,6827,,WARREN & R/R 3,42.344056,4043,-83.18097,14,CROSSTOWN,EASTBOUND,,,6827 -  /
POINT (-83.17917908863346 42.34377712793759),WRMAEB,6828,W Warren Ave & Maple St,WARREN & MAPLE,42.343769,4044,-83.179175,14,CROSSTOWN,EASTBOUND,W Warren Ave,Maple St,6828 - Maple St / W Warren Ave
POINT (-83.17957008878199 42.34411712798062),WRMAWB,6829,,WARREN & MAPLE,42.344109,4045,-83.179566,14,CROSSTOWN,WESTBOUND,,,6829 -  /
POINT (-83.17349908689025 42.343875128212645),WRJOEB,6830,W Warren Ave & Jonathan St,WARREN & JONATHAN,42.343867,4046,-83.173495,14,CROSSTOWN,EASTBOUND,W Warren Ave,Jonathan St,6830 - Jonathan St / W Warren Ave
POINT (-83.17348608690688 42.344125128257936),WRJOWB,6831,W Warren Ave & Jonathan St,WARREN & JONATHAN,42.344117,4047,-83.173482,14,CROSSTOWN,WESTBOUND,W Warren Ave,Jonathan St,6831 - Jonathan St / W Warren Ave
POINT (-83.17065208601537 42.34391012834801),WRHAEB,6832,W Warren Ave & Hartwell St,WARREN & HARTWELL,42.343902,4048,-83.170648,14,CROSSTOWN,EASTBOUND,W Warren Ave,Hartwell St,6832 - Hartwell St / W Warren Ave
POINT (-83.16989508580697 42.34421412843666),WROAWB,6833,W Warren Ave & Oakman Blvd,WARREN & OAKMAN,42.344206,4049,-83.169891,14,CROSSTOWN,WESTBOUND,W Warren Ave,Oakman Blvd,6833 - Oakman Blvd / W Warren Ave
POINT (-83.16686608486195 42.34407912854982),WRMIEB,6835,W Warren Ave & Miller Rd,WARREN & MILLER,42.344071,4050,-83.166862,14,CROSSTOWN,EASTBOUND,W Warren Ave,Miller Rd,6835 - Miller Rd / W Warren Ave
POINT (-83.17533908866672 42.35854313075029),JYLIWB,6840,Joy Rd & Littlefield Ave,JOY RD & LITTLEFIELD,42.358535,4051,-83.175335,27,JOY ROAD,WESTBOUND,Joy Rd,Littlefield Ave,6840 - Littlefield Ave / Joy Rd
POINT (-83.1749110885133 42.35828313072321),JYLIEB,6841,Joy Rd & Littlefield Ave,JOY RD & LITTLEFIELD,42.358275,4052,-83.174907,27,JOY ROAD,EASTBOUND,Joy Rd,Littlefield Ave,6841 - Littlefield Ave / Joy Rd
POINT (-83.18043209083116 42.365743131805296),CGDEWB,6843,W Chicago St & Decatur Ave,CHICAGO & DECATUR,42.365735,4053,-83.180428,15,CHICAGO-D,WESTBOUND,W Chicago St,Decatur Ave,6843 - Decatur Ave / W Chicago St
POINT (-83.18134809109152 42.365475131715904),CGDEEB,6844,W Chicago St & Kercheval St,CHICAGO & DECATUR,42.365467,4054,-83.181344,15,CHICAGO-D,EASTB0UND,W Chicago St,Kercheval St,6844 - Kercheval St / W Chicago St
POINT (-83.17796309005507 42.365564131885364),SFCHSB,6845,Schaefer Hwy & W Chicago St,SCHAEFER & CHICAGO,42.365556,4055,-83.177959,41,SCHAEFER,SOUTHBOUN,Schaefer Hwy,W Chicago St,6845 - W Chicago St / Schaefer Hwy
POINT (-83.17764609000011 42.36608313199251),SFCHNB,6847,Schaefer Hwy & W Chicago St,SCHAEFER & CHICAGO,42.366075,4056,-83.177642,41,SCHAEFER,NORTHBOUN,Schaefer Hwy,W Chicago St,6847 - W Chicago St / Schaefer Hwy
POINT (-83.17508008917488 42.36567113203531),CGLIEB,6850,W Chicago St & Littlefield St,CHICAGO & LITTLEFIELD,42.365663,4057,-83.175076,15,CHICAGO-D,EASTB0UND,W Chicago St,Littlefield St,6850 - Littlefield St / W Chicago St
POINT (-83.17398008885779 42.365939132133114),CGCHWB,6851,W Chicago St & Cheyenne St,CHICAGO & CHEYENNE,42.365931,4058,-83.173976,15,CHICAGO-D,WESTBOUND,W Chicago St,Cheyenne St,6851 - Cheyenne St / W Chicago St
POINT (-83.17288308792186 42.35869413088861),JYWAWB,6852,Joy Rd & Ward St,JOY RD & WARD,42.358686,4059,-83.172879,27,JOY ROAD,WESTBOUND,Joy Rd,Ward St,6852 - Ward St / Joy Rd
POINT (-83.17139208744437 42.358479130917914),JYSOEB,6853,Joy Rd & Sorrento St,JOY RD & SORRENTO,42.358471,4060,-83.171388,27,JOY ROAD,EASTBOUND,Joy Rd,Sorrento St,6853 - Sorrento St / Joy Rd
POINT (-83.17039008715746 42.35874713101122),JYSTWB,6854,Joy Rd & Steel Ave,JOY RD & STEEL,42.358739,4061,-83.170386,27,JOY ROAD,WESTBOUND,Joy Rd,Steel Ave,6854 - Steel Ave / Joy Rd
POINT (-83.17261108841414 42.36567913214883),CGWAEB,6856,W Chicago St & Ward St,CHICAGO & WARD,42.365671,4062,-83.172607,15,CHICAGO-D,EASTB0UND,W Chicago St,Ward St,6856 - Ward St / W Chicago St
POINT (-83.17189008821393 42.365947132229365),CGSOWB,6857,W Chicago St & Sorrento St,CHICAGO & SORRENTO,42.365939,4063,-83.171886,15,CHICAGO-D,WESTBOUND,W Chicago St,Sorrento St,6857 - Sorrento St / W Chicago St
POINT (-83.02333376939997 42.33905621878239),LRCHWB,51,Larned St & Chene St,Larned & Chene,42.339048,21,-83.02333,7,CADILLAC,WESTBOUND,,,51 -  /
POINT (-83.17011908764928 42.36572313226974),CGSTEB,6858,W Chicago St & Steel St,CHICAGO & STEEL,42.365715,4064,-83.170115,15,CHICAGO-D,EASTB0UND,W Chicago St,Steel St,6858 - Steel St / W Chicago St
POINT (-83.17002108764277 42.36601013232541),CGIRWB,6859,W Chicago St & Iris St,CHICAGO & IRIS,42.366002,4065,-83.170017,15,CHICAGO-D,WESTBOUND,W Chicago St,Iris St,6859 - Iris St / W Chicago St
POINT (-83.18996909794063 42.41616114037062),MCHUWB,6862,W Mcnichols Rd & Hubbell St,MC NICHOLS & HUBBELL,42.416153,4066,-83.189965,32,McNICHOLS,WESTBOUND,W Mcnichols Rd,Hubbell St,6862 - Hubbell St / W Mcnichols Rd
POINT (-83.18818409738266 42.4160721404359),MCSTEB,6867,W Mcnichols Rd & Strathmoor St,McNICHOLS & STRATHMOOR,42.416064,4067,-83.18818,32,McNICHOLS,EASTBOUND,W Mcnichols Rd,Strathmoor St,6867 - Strathmoor St / W Mcnichols Rd
POINT (-83.1863250968269 42.416286140558555),MCFRWB,6868,W Mcnichols Rd & Freeland St,MC NICHOLS & FREELAND,42.416278,4068,-83.186321,32,McNICHOLS,WESTBOUND,W Mcnichols Rd,Freeland St,6868 - Freeland St / W Mcnichols Rd
POINT (-83.18487009636547 42.41613414059765),MCAREB,6869,W Mcnichols Rd & Ardmore St,MC NICHOLS & ARDMORE,42.416126,4069,-83.184866,32,McNICHOLS,EASTBOUND,W Mcnichols Rd,Ardmore St,6869 - Ardmore St / W Mcnichols Rd
POINT (-83.18400209612366 42.41644714069286),MCSTWB,6870,W Mcnichols Rd & Stansbury St,MC NICHOLS & STANSBURY,42.416439,4070,-83.183998,32,McNICHOLS,WESTBOUND,W Mcnichols Rd,Stansbury St,6870 - Stansbury St / W Mcnichols Rd
POINT (-83.18233909561066 42.416447140768476),MCLEWB,6871,W Mcnichols Rd & Lesure St,MC NICHOLS & LESURE,42.416439,4071,-83.182335,32,McNICHOLS,WESTBOUND,W Mcnichols Rd,Lesure St,6871 - Lesure St / W Mcnichols Rd
POINT (-83.18192309545935 42.416170140738),MCLEEB,6872,W Mcnichols Rd & Lesure St,MC NICHOLS & LESURE,42.416162,4072,-83.181919,32,McNICHOLS,EASTBOUND,W Mcnichols Rd,Lesure St,6872 - Lesure St / W Mcnichols Rd
POINT (-83.18731509741455 42.41969414112138),WOMAEB,6873,W Outer Dr & Mark Twain St,OUTER DR & MARK TWAIN,42.419686,4073,-83.187311,16,DEXTER,SOUTHBOUN,W Outer Dr,Mark Twain St,6873 - Mark Twain St / W Outer Dr
POINT (-83.18644709717344 42.42001614121824),WOFRWB,6874,W Outer Dr & Freeland St,OUTER DR & FREELAND,42.420008,4074,-83.186443,16,DEXTER,NORTHBOUN,W Outer Dr,Freeland St,6874 - Freeland St / W Outer Dr
POINT (-83.18461309658775 42.41977514125863),WOAREB,6875,W Outer Dr & Ardmore St,OUTER DR & ARDMORE,42.419767,4075,-83.184609,16,DEXTER,SOUTHBOUN,W Outer Dr,Ardmore St,6875 - Ardmore St / W Outer Dr
POINT (-83.18266809600996 42.420043141394885),WOLEWB,6876,W Outer Dr & Lesure St,OUTER DR & LESURE,42.420035,4076,-83.182664,16,DEXTER,NORTHBOUN,W Outer Dr,Lesure St,6876 - Lesure St / W Outer Dr
POINT (-83.17759409415424 42.41653614100004),MCSNWB,6877,W Mcnichols Rd & Snowden St,MC NICHOLS & SNOWDEN,42.416528,4077,-83.17759,32,McNICHOLS,WESTBOUND,W Mcnichols Rd,Snowden St,6877 - Snowden St / W Mcnichols Rd
POINT (-83.17611509367644 42.41627614102092),MCLIEB,6878,W Mcnichols Rd & Littlefield St,MC NICHOLS & LITTLEFIEL,42.416268,4078,-83.176111,32,McNICHOLS,EASTBOUND,W Mcnichols Rd,Littlefield St,6878 - Littlefield St / W Mcnichols Rd
POINT (-83.17387709298605 42.41627614112266),MCWAEB,6879,W Mcnichols Rd & Ward St,MC NICHOLS & WARD,42.416268,4079,-83.173873,32,McNICHOLS,EASTBOUND,W Mcnichols Rd,Ward St,6879 - Ward St / W Mcnichols Rd
POINT (-83.17508809337744 42.41649114110592),MCWAWB,6880,W Mcnichols Rd & Ward St,MC NICHOLS & WARD,42.416483,4080,-83.175084,32,McNICHOLS,WESTBOUND,W Mcnichols Rd,Ward St,6880 - Ward St / W Mcnichols Rd
POINT (-83.17728809435465 42.42009614164897),WOSASB,6885,W Outer Dr & Santa Clara St,OUTER DR & SANTA CLARA,42.420088,4081,-83.177284,72,DEXTER LI,SOUTHBOUN,W Outer Dr,Santa Clara St,6885 - Santa Clara St / W Outer Dr
POINT (-83.17686009426625 42.42062314176238),WOJAWB,6888,W Outer Dr & James Couzens Fwy,OUTER DR & JAMES COUZENS,42.420615,4082,-83.176856,16,DEXTER,NORTHBOUN,W Outer Dr,James Couzens Fwy,6888 - James Couzens Fwy / W Outer Dr
POINT (-83.17558809390643 42.42101714189045),WOJAEB,6889,W Outer Dr & James Couzens Fwy,OUTER DR & JAMES COUZENS,42.421009,4083,-83.175584,16,DEXTER,SOUTHBOUN,W Outer Dr,James Couzens Fwy,6889 - James Couzens Fwy / W Outer Dr
POINT (-83.1752820938838 42.42188414205901),WOTHWB,6892,W Outer Dr & Thatcher St,OUTER DRIVE & THATCHER,42.421876,4084,-83.175278,16,DEXTER,NORTHBOUN,W Outer Dr,Thatcher St,6892 - Thatcher St / W Outer Dr
POINT (-83.17495109379654 42.422063142106),WOTHEB,6893,W Outer Dr & Thatcher St,OUTER DRIVE & THATCHER,42.422055,4085,-83.174947,16,DEXTER,SOUTHBOUN,W Outer Dr,Thatcher St,6893 - Thatcher St / W Outer Dr
POINT (-83.17493909391803 42.42357514237613),CUOUEB,6894,Curtis St & W Outer Dr,CURTIS & OUTER DRIVE,42.423567,4086,-83.174935,16,DEXTER,SOUTHBOUN,Curtis St,W Outer Dr,6894 - W Outer Dr / Curtis St
POINT (-83.17537909405304 42.42356614235458),WOCUWB,6895,W Outer Dr & Curtis St,OUTER DR & CURTIS,42.423558,4087,-83.175375,16,DEXTER,NORTHBOUN,W Outer Dr,Curtis St,6895 - Curtis St / W Outer Dr
POINT (-83.17276209326863 42.42384314252292),CUSTWB,6897,Curtis St & Steel St,CURTIS & STEEL,42.423835,4088,-83.172758,16,DEXTER,NORTHBOUN,Curtis St,Steel St,6897 - Steel St / Curtis St
POINT (-83.17245609315191 42.42357414248887),CUSTEB,6898,Curtis St & Steel St,CURTIS & STEEL,42.423566,4089,-83.172452,16,DEXTER,SOUTHBOUN,Curtis St,Steel St,6898 - Steel St / Curtis St
POINT (-83.27052012019301 42.3849621311405),STVIEB,6933,Schoolcraft & Virgil St,SCHOOLCRAFT & VIRGIL,42.384954,4090,-83.270516,43,SCHOOLCRA,EASTBOUND,Schoolcraft,Virgil St,6933 - Virgil St / Schoolcraft
POINT (-83.27149912056802 42.38584713125376),STVIWB,6934,Schoolcraft & Virgil St,SCHOOLCRAFT & VIRGIL,42.385839,4091,-83.271495,43,SCHOOLCRA,WESTBOUND,Schoolcraft,Virgil St,6934 - Virgil St / Schoolcraft
POINT (-83.27230412071457 42.38462113099847),STAPEB,6935,Schoolcraft Rd & Appleton St,SCHOOLCRAFT & APPLETON,42.384613,4092,-83.2723,43,SCHOOLCRA,EASTBOUND,Schoolcraft Rd,Appleton St,6935 - Appleton St / Schoolcraft Rd
POINT (-83.276203121899 42.384413130783834),TESTWB,6936,Telegraph Rd & Schoolcraft Rd,Telegraph & Schoolcraft,42.384405,4093,-83.276199,43,SCHOOLCRA,WESTBOUND,Schoolcraft Rd,Telegraph Rd,6936 - Telegraph Rd / Schoolcraft Rd
POINT (-83.27318512108685 42.38583713117524),STRIWB,6938,Schoolcraft & Riverview St,SCHOOLCRAFT & RIVERVIEW,42.385829,4094,-83.273181,43,SCHOOLCRA,WESTBOUND,Schoolcraft,Riverview St,6938 - Riverview St / Schoolcraft
POINT (-83.27504685280283 42.39984222076961),FKDLEB,256,,Fenkell & Dale,42.399834,184,-83.275043,18,FENKELL,SOUTHBOUN,,,256 -  /
POINT (-83.26538711869196 42.38594013154866),STBRWB,6939,Schoolcraft Ave & Bramell St,SCHOOLCRAFT & BRAMELL,42.385932,4095,-83.265383,43,SCHOOLCRA,WESTBOUND,Schoolcraft Ave,Bramell St,6939 - Bramell St / Schoolcraft Ave
POINT (-83.26185511761082 42.386031131725744),STLAWB,6943,Schoolcraft & Lamphere St,SCHOOLCRAFT & LAMPHERE,42.386023,4096,-83.261851,43,SCHOOLCRA,WESTBOUND,Schoolcraft,Lamphere St,6943 - Lamphere St / Schoolcraft
POINT (-83.25874911656543 42.38496813167745),STDOEB,6944,Schoolcraft Ave & Dolphin St,SCHOOLCRAFT & DOLPHIN,42.38496,4097,-83.258745,43,SCHOOLCRA,EASTBOUND,Schoolcraft Ave,Dolphin St,6944 - Dolphin St / Schoolcraft Ave
POINT (-83.25923911680536 42.38604113184661),STDOWB,6945,Schoolcraft & Dolphin St,SCHOOLCRAFT & DOLPHIN,42.386033,4098,-83.259235,43,SCHOOLCRA,WESTBOUND,Schoolcraft,Dolphin St,6945 - Dolphin St / Schoolcraft
POINT (-83.25783411636486 42.38595213189466),STROWB,6946,Schoolcraft & Rockdale St,SCHOOLCRAFT & ROCKDALE,42.385944,4099,-83.25783,43,SCHOOLCRA,WESTBOUND,Schoolcraft,Rockdale St,6946 - Rockdale St / Schoolcraft
POINT (-83.25464411538908 42.3860431320561),STAWB,6948,Schoolcraft & Jason St,SCHOOLCRAFT & JASON,42.386035,4100,-83.25464,43,SCHOOLCRA,WESTBOUND,Schoolcraft,Jason St,6948 - Jason St / Schoolcraft
POINT (-83.25178411451503 42.3861341322025),STBEWB,6949,Schoolcraft & Bentler St,SCHOOLCRAFT & BENTLER,42.386126,4101,-83.25178,43,SCHOOLCRA,WESTBOUND,Schoolcraft,Bentler St,6949 - Bentler St / Schoolcraft
POINT (-83.25126911425193 42.384873132000976),STBEEB,6950,Schoolcraft Ave & Bentler St,SCHOOLCRAFT & BENTLER,42.384865,4102,-83.251265,43,SCHOOLCRA,EASTBOUND,Schoolcraft Ave,Bentler St,6950 - Bentler St / Schoolcraft Ave
POINT (-83.24918011371321 42.386144132322826),STBLWB,6951,Schoolcraft & Blackstone St,SCHOOLCRAFT & BLACKSTONE,42.386136,4103,-83.249176,43,SCHOOLCRA,WESTBOUND,Schoolcraft,Blackstone St,6951 - Blackstone St / Schoolcraft
POINT (-83.2486291134404 42.3849011321261),STBLEB,6952,Schoolcraft Ave & Blackstone Ave,SCHOOLCRAFT & BLACKSTONE,42.384893,4104,-83.248625,43,SCHOOLCRA,EASTBOUND,Schoolcraft Ave,Blackstone Ave,6952 - Blackstone Ave / Schoolcraft Ave
POINT (-83.24350911197331 42.386244132598684),STPAWB,6953,Schoolcraft & Patton St,SCHOOLCRAFT & PATTON,42.386236,4105,-83.243505,43,SCHOOLCRA,WESTBOUND,Schoolcraft,Patton St,6953 - Patton St / Schoolcraft
