,LAT,LON,VOTES,REPORT,TYPE
40,42.38787914,-83.18195409,73212,Even at daytime I do not feel safe going here!,BUS STATIONS
41,42.38007214,-83.08914406,90342,I was being harassed by a black guy #holyshit,BUS STATIONS
42,42.35179222,-83.1298448,46236,"Got a companion to get home, feels so safe!",BUS STATIONS
43,42.42634415,-83.04810106,5,This is a spam,BUS STATIONS
44,42.41752423,-83.1047618,98726,"Just got robbed yesterday, please avoid this area at all cost",BUS STATIONS
45,42.43296823,-83.07945979,54232,"I don't like my surroundings, feels unsafe #jesus",BUS STATIONS
46,42.40267514,-83.13197208,6736,I left my wallet on a rubish bin #ohno,BUS STATIONS
47,42.39005214,-83.02281604,79231,Got threatened and harassed yesterday by a guy,BUS STATIONS
48,42.43822714,-83.1805361,213,I saw a hot girl #damnson,BUS STATIONS
49,42.33121721,-83.1357638,65738,I really think that the security of this place needs more improvement,BUS STATIONS
50,42.33571873,-83.0857838,201,This app is useless,PARKS / NEIGHBORHOOD
51,42.37410302,-83.04557221,0,a,PARKS / NEIGHBORHOOD
52,42.41725779,-83.07139746,0,a,PARKS / NEIGHBORHOOD
53,42.34594205,-83.08716258,0,a,PARKS / NEIGHBORHOOD
54,42.35074206,-83.07100954,0,a,PARKS / NEIGHBORHOOD
55,42.44054142,-83.01078387,0,a,PARKS / NEIGHBORHOOD
56,42.43822332,-83.23653174,0,a,PARKS / NEIGHBORHOOD
57,42.34481003,-83.02106962,0,a,PARKS / NEIGHBORHOOD
58,42.43872151,-83.28253484,0,a,PARKS / NEIGHBORHOOD
59,42.43547359,-83.27015715,0,a,PARKS / NEIGHBORHOOD
60,42.43906934,-83.20858967,0,a,PARKS / NEIGHBORHOOD
61,42.40042869,-83.13011003,0,a,PARKS / NEIGHBORHOOD
62,42.44261094,-82.9631246,0,a,PARKS / NEIGHBORHOOD
63,42.36277637,-83.10302897,0,a,PARKS / NEIGHBORHOOD
64,42.40733912,-83.26316544,0,a,PARKS / NEIGHBORHOOD
65,42.33879174,-83.10929151,0,a,PARKS / NEIGHBORHOOD
66,42.35624507,-83.02452473,0,a,PARKS / NEIGHBORHOOD
67,42.36186813,-83.04376953,0,a,PARKS / NEIGHBORHOOD
68,42.37010179,-83.10981151,0,a,PARKS / NEIGHBORHOOD
69,42.36680946,-83.1336763,0,a,PARKS / NEIGHBORHOOD
70,42.41011172,-83.15519652,0,a,PARKS / NEIGHBORHOOD
71,42.44105848,-83.20292834,0,a,PARKS / NEIGHBORHOOD
72,42.34647668,-83.0341228,0,a,PARKS / NEIGHBORHOOD
73,42.32660059,-83.14477908,0,a,PARKS / NEIGHBORHOOD
74,42.29774125,-83.10698225,0,a,PARKS / NEIGHBORHOOD
75,42.31307247,-83.10465128,0,a,PARKS / NEIGHBORHOOD
76,42.44446452,-82.9851658,0,a,PARKS / NEIGHBORHOOD
77,42.36817224,-83.17969257,0,a,PARKS / NEIGHBORHOOD
78,42.36687344,-83.01369039,0,a,PARKS / NEIGHBORHOOD
79,42.39081852,-83.08761707,0,a,PARKS / NEIGHBORHOOD
80,42.30572541,-83.09303121,0,a,PARKS / NEIGHBORHOOD
81,42.42902299,-82.96437518,0,a,PARKS / NEIGHBORHOOD
82,42.30013049,-83.09872853,0,a,PARKS / NEIGHBORHOOD
83,42.36505986,-83.20914351,0,a,PARKS / NEIGHBORHOOD
84,42.38898573,-83.25820934,0,a,PARKS / NEIGHBORHOOD
85,42.38090246,-83.02552979,0,a,PARKS / NEIGHBORHOOD
86,42.43834011,-82.99059883,0,a,PARKS / NEIGHBORHOOD
87,42.37098044,-83.09713383,0,a,PARKS / NEIGHBORHOOD
88,42.37068396,-83.17156583,0,a,PARKS / NEIGHBORHOOD
89,42.42905795,-83.08317362,0,a,PARKS / NEIGHBORHOOD
90,42.42227545,-83.02952196,0,a,PARKS / NEIGHBORHOOD
91,42.41079973,-82.99973312,0,a,PARKS / NEIGHBORHOOD
92,42.35942516,-83.13590935,0,a,PARKS / NEIGHBORHOOD
93,42.38085195,-83.27487767,0,a,PARKS / NEIGHBORHOOD
94,42.40373914,-83.25192204,0,a,PARKS / NEIGHBORHOOD
95,42.37225766,-83.12733518,0,a,PARKS / NEIGHBORHOOD
96,42.39810843,-82.95651824,0,a,PARKS / NEIGHBORHOOD
97,42.32462294,-83.07909045,0,a,PARKS / NEIGHBORHOOD
98,42.4363753,-83.05674035,0,a,PARKS / NEIGHBORHOOD
99,42.32917429,-83.04169701,0,a,PARKS / NEIGHBORHOOD
