,REPORT,CATEGORY
169,"maybe leblanc thought , "" hey , the movie about the baseball-playing monkey was worse . "" ",0
170,what you expect is just what you get . . . assuming the bar of expectations hasn't been raised above sixth-grade height . ,0
171,barry sonnenfeld owes frank the pug big time,0
172,"the biggest problem with roger avary's uproar against the mpaa is that , even in all its director's cut glory , he's made a film that's barely shocking , barely interesting and most of all , barely anything . ",0
173,so riddled with unanswered questions that it requires gargantuan leaps of faith just to watch it plod along . ,0
174,"i approached the usher and said that if she had to sit through it again , she should ask for a raise . ",0
175,earnest but heavy-handed . ,0
176,if sinise's character had a brain his ordeal would be over in five minutes but instead the plot goes out of its way to introduce obstacles for him to stumble over . ,0
177,"too slow for a younger crowd , too shallow for an older one . ",0
178,"there's a reason the studio didn't offer an advance screening . "" the adventures of pluto nash "" is a big time stinker . ",0
179,"a punch line without a premise , a joke built entirely from musty memories of half-dimensional characters . ",0
180,"takes one character we don't like and another we don't believe , and puts them into a battle of wills that is impossible to care about and isn't very funny . ",0
181,the things this movie tries to get the audience to buy just won't fly with most intelligent viewers . ,0
182,"even if the enticing prospect of a lot of nubile young actors in a film about campus depravity didn't fade amid the deliberate , tiresome ugliness , it would be rendered tedious by avary's failure to construct a story with even a trace of dramatic interest . ",0
183,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house . ,0
184,"confuses its message with an ultimate desire to please , and contorting itself into an idea of expectation is the last thing any of these three actresses , nor their characters , deserve . ",0
185,"deadly dull , pointless meditation on losers in a gone-to-seed hotel . ",0
186,"with this new rollerball , sense and sensibility have been overrun by what can only be characterized as robotic sentiment . ",0
187,one can only assume that the jury who bestowed star hoffman's brother gordy with the waldo salt screenwriting award at 2002's sundance festival were honoring an attempt to do something different over actually pulling it off,0
188,"a movie more to be prescribed than recommended -- as visually bland as a dentist's waiting room , complete with soothing muzak and a cushion of predictable narrative rhythms . ",0
189,"sex ironically has little to do with the story , which becomes something about how lame it is to try and evade your responsibilities and that you should never , ever , leave a large dog alone with a toddler . but never mind all that ; the boobs are fantasti",0
190,"the script covers huge , heavy topics in a bland , surfacey way that doesn't offer any insight into why , for instance , good things happen to bad people . ",0
191,"a portrait of alienation so perfect , it will certainly succeed in alienating most viewers . ",0
192,the code talkers deserved better than a hollow tribute . ,0
193,skip the film and buy the philip glass soundtrack cd . ,0
194,feels like a cold old man going through the motions . ,0
195,dignified ceo's meet at a rustic retreat and pee against a tree . can you bear the laughter ? ,0
196,"dull and mechanical , kinda like a very goofy museum exhibit",0
197,"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity . ",0
198,beware the quirky brit-com . they can and will turn on a dime from oddly humorous to tediously sentimental . ,0
199,has its moments -- and almost as many subplots . ,0
200,"the gags , and the script , are a mixed bag . ",0
201,completely awful iranian drama . . . as much fun as a grouchy ayatollah in a cold mosque . ,0
202,"narratively , trouble every day is a plodding mess . ",0
203,there's no point in extracting the bare bones of byatt's plot for purposes of bland hollywood romance . ,0
204,"directors john musker and ron clements , the team behind the little mermaid , have produced sparkling retina candy , but they aren't able to muster a lot of emotional resonance in the cold vacuum of space . ",0
205,"adam sandler's heart may be in the right place , but he needs to pull his head out of his butt",0
206,"there's no doubting that this is a highly ambitious and personal project for egoyan , but it's also one that , next to his best work , feels clumsy and convoluted . ",0
207,"despite engaging offbeat touches , knockaround guys rarely seems interested in kicking around a raison d'etre that's as fresh-faced as its young-guns cast . ",0
208,it's all pretty tame . the most offensive thing about the movie is that hollywood expects people to pay to see it . ,0
209,the movie is a mess from start to finish . ,0
210,"the trouble with making this queen a thoroughly modern maiden is that it also makes her appear foolish and shallow rather than , as was more likely , a victim of mental illness . ",0
211,"i'm not saying that ice age doesn't have some fairly pretty pictures , but there's not enough substance in the story to actually give them life . ",0
212,"in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar . ",0
213,"the plot is nothing but boilerplate clichés from start to finish , and the script assumes that not only would subtlety be lost on the target audience , but that it's also too stupid to realize that they've already seen this exact same movie a hundred times",0
214,terminally brain dead production . ,0
215,"some episodes work , some don't . ",0
216,beautifully filmed and well acted . . . but admittedly problematic in its narrative specifics . ,0
217,"j . lo will earn her share of the holiday box office pie , although this movie makes one thing perfectly clear : she's a pretty woman , but she's no working girl . ",0
218,"rymer doesn't trust laughs -- and doesn't conjure proper respect for followers of the whole dead-undead genre , who deserve more from a vampire pic than a few shrieky special effects . ",0
219,"not only are the film's sopranos gags incredibly dated and unfunny , they also demonstrate how desperate the makers of this 'we're -doing-it-for -the-cash' sequel were . ",0
220,wow . i have not been this disappointed by a movie in a long time . ,0
221,"off the hook is overlong and not well-acted , but credit writer-producer-director adam watstein with finishing it at all . ",0
222,it's a drag how nettelbeck sees working women -- or at least this working woman -- for whom she shows little understanding . ,0
223,"watching harris ham it up while physically and emotionally disintegrating over the course of the movie has a certain poignancy in light of his recent death , but boyd's film offers little else of consequence . ",0
224,"it's also curious to note that this film , like the similarly ill-timed antitrust , is easily as bad at a fraction the budget . ",0
225,"'ejemplo de una cinta en que no importa el talento de su reparto o lo interesante que pudo haber resultado su premisa , pues el resultado es francamente aburrido y , por momentos , deplorable . '",0
226,will probably be one of those movies barely registering a blip on the radar screen of 2002 . ,0
227,"the problem is not that it's all derivative , because plenty of funny movies recycle old tropes . the problem is that van wilder does little that is actually funny with the material . ",0
228,there's nothing interesting in unfaithful whatsoever . ,0
229,none of this is half as moving as the filmmakers seem to think . ,0
230,a processed comedy chop suey . ,0
231,"as spent screen series go , star trek : nemesis is even more suggestive of a 65th class reunion mixer where only eight surviving members show up -- and there's nothing to drink . ",0
232,"fails as a dystopian movie , as a retooling of fahrenheit 451 , and even as a rip-off of the matrix . ",0
233,full of the kind of obnoxious chitchat that only self-aware neurotics engage in . ,0
234,"an erotic thriller that's neither too erotic nor very thrilling , either . ",0
235,"the movie , like bartleby , is something of a stiff -- an extra-dry office comedy that seems twice as long as its 83 minutes . ",0
236,with its parade of almost perpetually wasted characters . . . margarita feels like a hazy high that takes too long to shake . ,0
237,"if you value your time and money , find an escape clause and avoid seeing this trite , predictable rehash . ",0
238,"the director and her capable cast appear to be caught in a heady whirl of new age-inspired good intentions , but the spell they cast isn't the least bit mesmerizing . ",0
239,everything is pegged into the groove of a new york dating comedy with 'issues' to simplify . ,0
240,a dramatic comedy as pleasantly dishonest and pat as any hollywood fluff . ,0
241,"the cameo-packed , m : i-2-spoofing title sequence is the funniest 5 minutes to date in this spy comedy franchise . . . then mike myers shows up and ruins everything . ",0
242,"it comes off as so silly that you wouldn't be surprised if ba , murdock and rest of the a-team were seen giving chase in a black and red van . ",0
243,the 50-something lovebirds are too immature and unappealing to care about . ,0
244,"so genial is the conceit , this is one of those rare pictures that you root for throughout , dearly hoping that the rich promise of the script will be realized on the screen . it never is , not fully . ",0
245,"even in the summertime , the most restless young audience deserves the dignity of an action hero motivated by something more than franchise possibilities . ",0
246,"what with all the blanket statements and dime-store ruminations on vanity , the worries of the rich and sudden wisdom , the film becomes a sermon for most of its running time . ",0
247,one lousy movie . ,0
248,"as gamely as the movie tries to make sense of its title character , there remains a huge gap between the film's creepy , clean-cut dahmer ( jeremy renner ) and fiendish acts that no amount of earnest textbook psychologizing can bridge . ",0
249,"plodding , peevish and gimmicky . ",0
250,"the four feathers is definitely horse feathers , but if you go in knowing that , you might have fun in this cinematic sandbox . ",0
251,oozes condescension from every pore . ,0
252,"solaris "" is a shapeless inconsequential move relying on the viewer to do most of the work . ",0
253,"the direction , by george hickenlooper , has no snap to it , no wiseacre crackle or hard-bitten cynicism . ",0
254, . . . hypnotically dull . ,0
255,"though this saga would be terrific to read about , it is dicey screen material that only a genius should touch . ",0
256,it has plenty of laughs . it just doesn't have much else . . . especially in a moral sense . ,0
257,"an awful lot like one of [spears'] music videos in content -- except that it goes on for at least 90 more minutes and , worse , that you have to pay if you want to see it . ",0
258,"confusion is one of my least favourite emotions , especially when i have to put up with 146 minutes of it . ",0
259,"[h]ad i suffered and bled on the hard ground of ia drang , i'd want something a bit more complex than we were soldiers to be remembered by . ",0
260,"occasionally loud and offensive , but more often , it simply lulls you into a gentle waking coma . ",0
261,it may play well as a double feature with mainstream foreign mush like my big fat greek wedding,0
262,"by the time you reach the finale , you're likely wondering why you've been watching all this strutting and posturing . ",0
263,"journalistically dubious , inept and often lethally dull . ",0
264,putting the primitive murderer inside a high-tech space station unleashes a pandora's box of special effects that run the gamut from cheesy to cheesier to cheesiest . ,0
265," at its best , it's black hawk down with more heart . at its worst , it's rambo- meets-john ford . ",0
266,exactly what you'd expect from a guy named kaos . ,0
267,calculated swill . ,0
268,this movie . . . doesn't deserve the energy it takes to describe how bad it is . ,0
269,"with or without ballast tanks , k-19 sinks to a harrison ford low . ",0
270,director oliver parker labors so hard to whip life into the importance of being earnest that he probably pulled a muscle or two . ,0
271,you might be shocked to discover that seinfeld's real life is boring . ,0
272,"it's not nearly as fresh or enjoyable as its predecessor , but there are enough high points to keep this from being a complete waste of time . ",0
273,walsh can't quite negotiate the many inconsistencies in janice's behavior or compensate for them by sheer force of charm . ,0
274,this 10th film in the series looks and feels tired . ,0
275,"it leers , offering next to little insight into its intriguing subject . ",0
276,i found myself growing more and more frustrated and detached as vincent became more and more abhorrent . ,0
277,one of the oddest and most inexplicable sequels in movie history . ,0
278,there's nothing to gain from watching they . it isn't scary . it hates its characters . it finds no way to entertain or inspire its viewers . ,0
279,"fear permeates the whole of stortelling , todd solondz' oftentimes funny , yet ultimately cowardly autocritique . ",0
280,the skirmishes for power waged among victims and predators settle into an undistinguished rhythm of artificial suspense . ,0
281,thoroughly awful . ,0
282," . . . ice age treads predictably along familiar territory , making it a passable family film that won't win many fans over the age of 12 . ",0
283,"though the film is well-intentioned , one could rent the original and get the same love story and parable . ",0
284,just too silly and sophomoric to ensnare its target audience . ,0
285,"the video work is so grainy and rough , so dependent on being 'naturalistic' rather than carefully lit and set up , that it's exhausting to watch . ",0
286,truly terrible . ,0
287,a cleverly crafted but ultimately hollow mockumentary . ,0
288,it gets bogged down by hit-and-miss topical humour before getting to the truly good stuff . ,0
289,"an achingly enthralling premise , the film is hindered by uneven dialogue and plot lapses . ",0
290,"it's tommy's job to clean the peep booths surrounding her , and after viewing this one , you'll feel like mopping up , too . ",0
291,"rifkin no doubt fancies himself something of a hubert selby jr . , but there isn't an ounce of honest poetry in his entire script ; it's simply crude and unrelentingly exploitative . ",0
292,fluffy and disposible . ,0
293,such a bad movie that its luckiest viewers will be seated next to one of those ignorant pinheads who talk throughout the show . ,0
294,"if you go into the theater expecting a scary , action-packed chiller , you might soon be looking for a sign . an exit sign , that is . ",0
295,"holds limited appeal to those who like explosions , sadism and seeing people beat each other to a pulp . ",0
296,the dialogue is very choppy and monosyllabic despite the fact that it is being dubbed . ,0
297,"a feature-length , r-rated , road-trip version of mama's family . ",0
298,what you end up getting is the vertical limit of surfing movies - memorable stunts with lots of downtime in between . ,0
299,"stealing harvard doesn't care about cleverness , wit or any other kind of intelligent humor . ",0
300,This is a spam,0
301,A spam is useless for this app,0
302,DUDE I SAW HARAMBE,0
303,I am near a church I must be safe!,0
304,Saw some dogs barking lul,0
305,SELLING SOME VIAGRA FREE PROMOTION 10% OFF PLEASE CALL 12345678,0
306,I saw a hot girl #damnson,0
307,"Nice day, walking with my dog near the park",0
308,I always have a nightmare getting killed in this area,0
309,The weather pretty sucks here,0
310,I don't know what to feel about this,1
311,This pizza is so yummy,0
312,My surroundings made me feel panic and unsafe!!!,1
313,"With this kind of surrounding, I doubt I will get home safe and sound",1
314,I think I need a break,0
